date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,cap_binding,n_long,n_short
2010-01-04,-0.0003748370620071958,1.9285897270391402e-05,5.7857691811174196e-05,1.5306267674913808e-06,-0.0004535112778562528,0.385717945407828,0.192858972703914,True,17,17
2010-01-05,0.0008769408279974958,3.5802230976846604e-05,0.0001074066929305398,2.841446902924333e-06,0.000730890457187185,0.7160446195369321,0.35802230976846605,True,17,17
2010-01-06,-0.000463598767140168,2.9571749029126005e-05,8.8715247087378e-05,2.346964208660794e-06,-0.0005842327274653327,0.5914349805825201,0.29571749029126004,True,16,16
2010-01-07,-0.0019931278213304645,9.614178059463482e-05,0.0002884253417839044,7.630300047193239e-06,-0.0023853252437561964,1.9228356118926961,0.9614178059463481,True,17,17
2010-01-08,-0.0002509274690441315,1.9289262812327403e-05,5.78677884369822e-05,1.5308938739942379e-06,-0.00032961541416743533,0.385785256246548,0.192892628123274,True,17,17
2010-01-11,0.002330665920301691,3.3081251000872604e-05,9.92437530026178e-05,2.625496111180365e-06,0.00219571542018702,0.661625020017452,0.330812510008726,True,17,17
2010-01-12,-0.0010182018619365927,3.56487723934308e-05,0.00010694631718029237,3.463099545243714e-06,-0.0011642600510555596,0.7129754478686159,0.35648772393430794,True,17,17
2010-01-13,7.447894960204511e-05,2.96442252194712e-05,8.893267565841359e-05,1.5625046287853603e-05,-5.972299756369327e-05,0.592884504389424,0.296442252194712,True,17,17
2010-01-14,0.00012799334535851126,2.46150319218226e-05,7.384509576546779e-05,1.953573962049413e-06,2.7579643709171454e-05,0.492300638436452,0.246150319218226,True,17,17
2010-01-15,0.00010088149726412079,1.8966691790546398e-05,5.690007537163919e-05,1.5052929992497143e-06,2.3509437102685482e-05,0.37933383581092794,0.18966691790546397,True,17,17
2010-01-19,-0.0019555184368967053,2.54131063862428e-05,7.623931915872839e-05,2.016913205257365e-06,-0.002059187775646934,0.508262127724856,0.254131063862428,True,17,17
2010-01-20,0.0004625816184328038,2.05614059821112e-05,6.168421794633359e-05,1.6318576176278726e-06,0.00037870413688673117,0.41122811964222394,0.20561405982111197,True,17,17
2010-01-21,0.0008190938932531658,3.54628939566864e-05,0.00010638868187005918,2.81451539338781e-06,0.0006744278020330324,0.709257879133728,0.354628939566864,True,16,16
2010-01-22,0.00039758966086351523,2.8127927404215404e-05,8.43837822126462e-05,2.232375190810746e-06,0.0002828455760558429,0.562558548084308,0.281279274042154,True,16,16
2010-01-25,0.0001835241728433834,3.41275185704998e-05,0.00010238255571149938,2.7085332198809358e-06,4.430556534150326e-05,0.682550371409996,0.341275185704998,True,16,16
2010-01-26,8.55553531463228e-05,2.61376101164152e-05,7.841283034924559e-05,2.0744135013027937e-06,-2.1069500820640782e-05,0.522752202328304,0.261376101164152,True,16,16
2010-01-27,-0.0003094557503236315,2.8329044344005206e-05,8.498713303201561e-05,2.248336852698825e-06,-0.00042502026455235113,0.5665808868801041,0.28329044344005205,True,16,16
2010-01-28,-0.0007117676733454539,2.6390473422808405e-05,7.91714202684252e-05,2.4167201619593384e-05,-0.0008414967686562808,0.527809468456168,0.263904734228084,True,17,17
2010-01-29,1.8842381167341214e-05,4.1640467575148204e-05,0.00012492140272544458,3.3047990139006504e-06,-0.00015102428814715223,0.832809351502964,0.416404675751482,True,17,17
